size,put(),get(),keys(),values()
1,917144,5663,14348,4530
2,13971,1510,4153,3398
3,9440,1887,6042,5663
4,20389,2266,6796,4531
5,11327,1888,6797,6419
6,15858,1888,7174,5663
7,21899,1888,15104,9062
8,23410,2643,20389,12460
9,37381,2266,15480,12083
10,40401,2265,22654,13215
11,27563,2266,18879,28318
12,42290,2643,32094,28319
13,20012,1511,29451,10949
14,24165,2266,24920,12460
15,40024,2266,16991,16614
16,656235,2266,26053,19635
17,38891,1510,57014,22278
18,27563,1510,9439,10950
19,26430,1888,9817,10194
